,DA,N,NFE,NP,PA,PR,coding,crossover,crowding_factor,crowding_selection,dimensions,distance_measure,function_name,method,mutation,p_c,p_m,run_number,run_time,subpopulation_size
24,1.3057737552995703,500.0,3192.0,4.0,1.20158398375732,4.0,bin,1,3.0,75.0,1.0,euclidean,TestFunctions.Deb4,worst_among_most_similar,1-point,0.1,0.1,2.0,37.53934359550476,5.0
25,0.8889109963874621,500.0,3336.0,7.0,1.3064719566494953,7.0,bin,1,3.0,75.0,1.0,euclidean,TestFunctions.Deb4,worst_among_most_similar,1-point,0.1,0.1,3.0,33.21651768684387,5.0
26,0.7110150280340426,500.0,4056.0,5.0,0.923967805849173,5.0,bin,1,3.0,75.0,1.0,euclidean,TestFunctions.Deb4,worst_among_most_similar,1-point,0.1,0.1,4.0,51.17635631561279,5.0
27,0.6730965206320274,500.0,2518.0,5.0,0.38424417770321284,5.0,bin,1,3.0,75.0,1.0,euclidean,TestFunctions.Deb4,worst_among_most_similar,1-point,0.1,0.1,5.0,24.377248525619507,5.0
28,0.909244836717766,500.0,3432.0,4.0,1.439687676731212,4.0,bin,1,3.0,75.0,1.0,euclidean,TestFunctions.Deb4,worst_among_most_similar,1-point,0.1,0.1,6.0,31.82515048980713,5.0
29,0.8738793603924376,500.0,2846.0,3.0,0.8084588688872666,3.0,bin,1,3.0,75.0,1.0,euclidean,TestFunctions.Deb4,worst_among_most_similar,1-point,0.1,0.1,7.0,24.941674947738647,5.0
30,0.7420187396607594,500.0,2728.0,7.0,0.8559028035603365,7.0,bin,1,3.0,75.0,1.0,euclidean,TestFunctions.Deb4,worst_among_most_similar,1-point,0.1,0.1,8.0,24.06578040122986,5.0
31,1.2981864445222364,500.0,3858.0,3.0,1.1007479524777528,3.0,bin,1,3.0,75.0,1.0,euclidean,TestFunctions.Deb4,worst_among_most_similar,1-point,0.1,0.1,9.0,33.67994713783264,5.0
32,0.0044325694723856,500.0,1326.0,7.0,0.004926390776397227,1.4,bin,1,3.0,75.0,1.0,euclidean,TestFunctions.Deb1,most_similar_among_worst,1-point,0.1,0.1,0.0,10.645931005477905,5.0
33,0.004431883511952478,500.0,1130.0,17.0,0.004925622708178867,3.4,bin,1,3.0,75.0,1.0,euclidean,TestFunctions.Deb1,most_similar_among_worst,1-point,0.1,0.1,1.0,9.042973041534424,5.0
34,0.004424701630263678,500.0,1482.0,11.0,0.004924774884798366,2.2,bin,1,3.0,75.0,1.0,euclidean,TestFunctions.Deb1,most_similar_among_worst,1-point,0.1,0.1,2.0,11.848773956298828,5.0
35,0.004419000821478086,500.0,1600.0,12.0,0.004896502220595567,2.4,bin,1,3.0,75.0,1.0,euclidean,TestFunctions.Deb1,most_similar_among_worst,1-point,0.1,0.1,3.0,12.795557737350464,5.0
36,0.00430486803087185,500.0,1482.0,8.0,0.00467751629171842,1.6,bin,1,3.0,75.0,1.0,euclidean,TestFunctions.Deb1,most_similar_among_worst,1-point,0.1,0.1,4.0,11.834335327148438,5.0
37,0.004310022322741608,500.0,1500.0,9.0,0.004738741326847151,1.8,bin,1,3.0,75.0,1.0,euclidean,TestFunctions.Deb1,most_similar_among_worst,1-point,0.1,0.1,5.0,12.001718521118164,5.0
38,0.003707986843020178,500.0,1416.0,11.0,0.0038679369379057693,2.2,bin,1,3.0,75.0,1.0,euclidean,TestFunctions.Deb1,most_similar_among_worst,1-point,0.1,0.1,6.0,11.343379735946655,5.0
39,0.004025036597272741,500.0,1272.0,13.0,0.004593907585874413,2.6,bin,1,3.0,75.0,1.0,euclidean,TestFunctions.Deb1,most_similar_among_worst,1-point,0.1,0.1,7.0,10.20717740058899,5.0
40,0.00443209263527003,500.0,1412.0,16.0,0.004925520057576849,3.2,bin,1,3.0,75.0,1.0,euclidean,TestFunctions.Deb1,most_similar_among_worst,1-point,0.1,0.1,8.0,11.241485595703125,5.0
