,DA,N,NFE,NP,PA,PR,coding,crossover,crowding_factor,crowding_selection,dimensions,distance_measure,function_name,method,mutation,p_c,p_m,run_number,run_time,subpopulation_size
24,1.1827656792133414,500.0,1642.0,5.0,1.2464502259539423,5.0,bin,1,3.0,75.0,1.0,euclidean,TestFunctions.Deb2,most_similar_among_worst,1-point,0.1,0.1,0.0,18.112865686416626,5.0
25,1.9815121353331466,500.0,2120.0,3.0,1.6031573573943259,3.0,bin,1,3.0,75.0,1.0,euclidean,TestFunctions.Deb2,most_similar_among_worst,1-point,0.1,0.1,1.0,23.517744064331055,5.0
26,1.204194250723282,500.0,2060.0,3.0,1.3358791490333943,3.0,bin,1,3.0,75.0,1.0,euclidean,TestFunctions.Deb2,most_similar_among_worst,1-point,0.1,0.1,2.0,22.978312969207764,5.0
27,1.2043105164618217,500.0,1802.0,4.0,1.3359212721826594,4.0,bin,1,3.0,75.0,1.0,euclidean,TestFunctions.Deb2,most_similar_among_worst,1-point,0.1,0.1,3.0,21.9180428981781,5.0
28,1.8489228179073551,500.0,2070.0,2.0,1.049575557719361,2.0,bin,1,3.0,75.0,1.0,euclidean,TestFunctions.Deb2,most_similar_among_worst,1-point,0.1,0.1,4.0,22.897908210754395,5.0
29,1.9397145844336303,500.0,1726.0,2.0,1.185503205704439,2.0,bin,1,3.0,75.0,1.0,euclidean,TestFunctions.Deb2,most_similar_among_worst,1-point,0.1,0.1,5.0,19.343576908111572,5.0
30,1.945084380025175,500.0,1970.0,2.0,1.2356789436727302,2.0,bin,1,3.0,75.0,1.0,euclidean,TestFunctions.Deb2,most_similar_among_worst,1-point,0.1,0.1,6.0,22.50783109664917,5.0
31,1.2800592577709908,500.0,1742.0,4.0,0.9156766851350566,4.0,bin,1,3.0,75.0,1.0,euclidean,TestFunctions.Deb2,most_similar_among_worst,1-point,0.1,0.1,7.0,22.876927137374878,5.0
32,1.2041886845679008,500.0,2394.0,4.0,1.335877635799952,4.0,bin,1,3.0,75.0,1.0,euclidean,TestFunctions.Deb2,most_similar_among_worst,1-point,0.1,0.1,8.0,26.619375944137573,5.0
33,1.2126283156607496,500.0,2208.0,3.0,1.327451812613623,3.0,bin,1,3.0,75.0,1.0,euclidean,TestFunctions.Deb2,most_similar_among_worst,1-point,0.1,0.1,9.0,22.034104108810425,5.0
34,0.003994065545249184,500.0,1936.0,11.0,0.004325122436374507,2.2,bin,1,3.0,75.0,1.0,euclidean,TestFunctions.Deb3,most_similar_among_worst,1-point,0.1,0.1,0.0,18.64975881576538,5.0
35,0.0035830436031000362,500.0,1642.0,11.0,0.0032042722007279423,2.2,bin,1,3.0,75.0,1.0,euclidean,TestFunctions.Deb3,most_similar_among_worst,1-point,0.1,0.1,1.0,15.945070028305054,5.0
36,0.004435163774634168,500.0,1802.0,10.0,0.005469263937318614,2.0,bin,1,3.0,75.0,1.0,euclidean,TestFunctions.Deb3,most_similar_among_worst,1-point,0.1,0.1,2.0,16.806236028671265,5.0
37,0.005984117217319521,500.0,1808.0,9.0,0.007779614287723002,1.8,bin,1,3.0,75.0,1.0,euclidean,TestFunctions.Deb3,most_similar_among_worst,1-point,0.1,0.1,3.0,17.059147834777832,5.0
38,0.005929592706136813,500.0,2070.0,6.0,0.007648376839956228,1.2,bin,1,3.0,75.0,1.0,euclidean,TestFunctions.Deb3,most_similar_among_worst,1-point,0.1,0.1,4.0,19.149770975112915,5.0
39,0.005498382221197709,500.0,1758.0,12.0,0.007158449778178699,2.4,bin,1,3.0,75.0,1.0,euclidean,TestFunctions.Deb3,most_similar_among_worst,1-point,0.1,0.1,5.0,16.499967098236084,5.0
40,0.006051663018636813,500.0,10.0,82.0,0.007981519199539822,16.4,bin,1,3.0,75.0,1.0,euclidean,TestFunctions.Deb3,most_similar_among_worst,1-point,0.1,0.1,6.0,0.9256918430328369,5.0
41,0.0046859112398793396,500.0,1608.0,11.0,0.004782951450628237,2.2,bin,1,3.0,75.0,1.0,euclidean,TestFunctions.Deb3,most_similar_among_worst,1-point,0.1,0.1,7.0,14.897561073303223,5.0
42,0.005563374316746486,500.0,1760.0,7.0,0.006910089404758346,1.4,bin,1,3.0,75.0,1.0,euclidean,TestFunctions.Deb3,most_similar_among_worst,1-point,0.1,0.1,8.0,16.313103199005127,5.0
43,0.003929990903880146,500.0,1612.0,10.0,0.0033839732485997365,2.0,bin,1,3.0,75.0,1.0,euclidean,TestFunctions.Deb3,most_similar_among_worst,1-point,0.1,0.1,9.0,15.131799936294556,5.0
44,0.6022034456515145,500.0,2922.0,6.0,0.7090293287282357,6.0,bin,1,4.0,75.0,1.0,euclidean,TestFunctions.Deb2,worst_among_most_similar,1-point,0.1,0.1,0.0,29.99966812133789,5.0
45,0.6586285890691063,500.0,3182.0,7.0,0.5628766721099008,7.0,bin,1,4.0,75.0,1.0,euclidean,TestFunctions.Deb2,worst_among_most_similar,1-point,0.1,0.1,1.0,32.51388621330261,5.0
46,1.1768748690712498,500.0,3692.0,2.0,1.1941472766662014,2.0,bin,1,4.0,75.0,1.0,euclidean,TestFunctions.Deb2,worst_among_most_similar,1-point,0.1,0.1,2.0,42.64238119125366,5.0
47,0.7713223907405601,500.0,4036.0,4.0,1.2695477477151702,4.0,bin,1,4.0,75.0,1.0,euclidean,TestFunctions.Deb2,worst_among_most_similar,1-point,0.1,0.1,3.0,49.75099968910217,5.0
48,0.8498956201197395,500.0,5010.0,3.0,1.3543634651047214,3.0,bin,1,4.0,75.0,1.0,euclidean,TestFunctions.Deb2,worst_among_most_similar,1-point,0.1,0.1,4.0,53.82020616531372,5.0
49,0.00434384055138079,500.0,16.0,80.0,0.005897038080818345,80.0,bin,1,4.0,75.0,1.0,euclidean,TestFunctions.Deb2,worst_among_most_similar,1-point,0.1,0.1,5.0,0.9402940273284912,5.0
